Time,Open,High,Low,Close,Volume
2022-10-31,95.4200,96.0300,93.9800,94.5100,31675036
2022-10-28,92.2700,96.5500,92.1300,96.2900,43697286
2022-10-27,94.5200,95.4300,91.8000,92.2200,60710859
2022-10-26,96.4300,98.3100,94.6900,94.9300,88279042
2022-10-25,102.9000,104.8200,102.7200,104.4800,40611375
2022-10-24,101.8000,102.7500,99.9800,102.5200,27176417
2022-10-21,97.8450,101.3100,97.7200,101.1300,32458722
2022-10-20,100.0000,102.3200,99.3900,99.9700,25323202
2022-10-19,100.0100,101.0183,98.9201,99.6300,23811064
2022-10-18,103.1300,103.4700,99.9700,100.7700,24060671
2022-10-17,98.8600,100.9300,98.8300,99.9700,28419192
2022-10-14,99.9900,100.6900,96.3700,96.5600,25410674
2022-10-13,95.1500,99.7750,94.3836,99.0600,34574549
2022-10-12,97.3000,98.7500,96.7350,97.5600,21876362
2022-10-11,97.4300,99.2450,96.3100,97.1800,26507103
2022-10-10,99.0000,99.0950,97.0100,97.8600,18225094
2022-10-07,99.8500,100.5300,98.2950,98.6800,27502765
2022-10-06,100.6800,102.9254,100.5900,101.4200,22323989
2022-10-05,99.8250,101.9300,98.8000,101.4300,22176903
2022-10-04,100.4400,101.8400,100.3800,101.6400,28850773
2022-10-03,96.7600,99.2872,96.5210,98.6400,27982031
2022-09-30,97.0500,98.9000,95.5600,95.6500,32941493
2022-09-29,98.6400,98.6400,95.9600,97.4200,31047224
2022-09-28,97.6500,100.7000,97.1100,100.0500,32466323
2022-09-27,99.4300,100.0000,96.8720,97.5000,30072781
2022-09-26,98.1000,99.8800,97.8000,98.1700,27072662
2022-09-23,99.6300,99.6600,97.4700,98.7400,31625437
2022-09-22,98.8200,101.2400,98.7900,100.1400,33986096
2022-09-21,101.6700,102.8800,99.2700,99.2800,31487265
2022-09-20,102.0800,102.3700,100.5200,101.1400,26517123
2022-09-19,101.7500,103.3300,101.5500,103.0700,23036811
2022-09-16,102.0700,103.1300,100.9400,102.8000,42797172
2022-09-15,104.0300,105.2700,102.3500,102.9100,34188284
2022-09-14,104.5700,105.2750,103.6600,105.0000,26395134
2022-09-13,107.8000,108.3000,104.0900,104.3200,38172871
2022-09-12,110.9900,111.6200,109.9300,110.8600,22966752
2022-09-09,109.0650,110.9900,109.0200,110.6500,23213585
2022-09-08,108.0400,109.6000,107.1600,108.3800,24238293
2022-09-07,107.0600,109.9800,106.9000,109.4500,23166967
2022-09-06,107.3000,108.0300,105.7800,106.8100,24994273
2022-09-02,110.5900,110.7400,107.2600,107.8500,24160711
2022-09-01,108.2800,110.4450,107.3600,109.7400,28360926
2022-08-31,110.6500,110.8500,108.1300,108.2200,28626972
2022-08-30,110.1700,110.5000,107.8000,108.9400,27513255
2022-08-29,109.9900,110.9500,108.8000,109.4200,21098514
2022-08-26,114.7200,115.1200,110.1900,110.3400,37245697
2022-08-25,114.2350,116.7200,114.1100,116.6500,16956794
2022-08-24,113.5000,114.7800,112.8701,113.6900,17734624
2022-08-23,113.4750,115.0100,113.4300,113.8600,15870373
2022-08-22,115.2000,115.6300,113.8500,114.2400,21456648
2022-08-19,119.0600,119.1500,116.7600,117.2100,21809528
2022-08-18,119.4300,120.8200,118.7200,120.1700,17987660
2022-08-17,120.1200,121.2900,119.3800,119.5500,22846958
2022-08-16,121.5200,122.4300,120.6400,121.7000,19041230
2022-08-15,121.1300,122.3000,120.6100,122.0800,19494825
2022-08-12,120.2600,121.6800,119.4600,121.6800,19096268
2022-08-11,121.2800,121.4900,118.5600,118.8400,24293654
2022-08-10,118.7800,120.9200,118.4100,119.7000,30930350
2022-08-09,117.1350,117.3200,115.7100,116.6300,19086465
2022-08-08,118.3900,120.1500,116.8800,117.3000,19169479
2022-08-05,116.2300,118.1056,116.0000,117.4700,19159520
2022-08-04,117.4800,118.7800,116.8900,118.1900,21602925
2022-08-03,115.7100,118.6200,115.4800,118.0800,28499014
2022-08-02,114.0000,116.3500,113.7200,115.1300,20236029
2022-08-01,115.3000,116.7200,114.3400,114.8600,26034288
2022-07-29,113.0800,116.7050,113.0600,116.3200,37223391
2022-07-28,112.3700,114.3400,111.4600,114.2200,32816568
2022-07-27,109.2600,113.9100,108.0100,113.0600,59858495
2022-07-26,106.6000,107.2000,104.0700,105.0200,47990963
2022-07-25,108.4100,109.8700,106.3000,107.5100,34690894
2022-07-22,111.0000,112.3400,106.5000,107.9000,48901184
2022-07-21,114.2800,114.5500,111.1132,114.3400,32676166
2022-07-20,113.1700,115.4000,112.4800,113.9000,35600426
2022-07-19,110.8500,114.0200,109.5600,113.8100,36530945
2022-07-18,112.6400,113.6800,108.3700,109.0300,42847038
2022-07-15,2240.0100,2262.8100,2218.0000,2235.5500,2338456
2022-07-14,2204.2100,2221.8600,2167.4600,2207.3500,1850152
2022-07-13,2234.0200,2283.9200,2224.0300,2227.0700,2186101
2022-07-12,2324.3000,2339.4800,2273.8044,2280.4100,1497985
2022-07-11,2359.9600,2359.9600,2306.6100,2313.5300,1562185
2022-07-08,2345.0000,2393.7000,2338.0250,2387.0700,1911908
2022-07-07,2301.6000,2383.7900,2296.6700,2375.6600,2046794
2022-07-06,2266.0400,2311.7900,2229.5200,2291.4400,1871569
2022-07-05,2142.0100,2267.5350,2114.6300,2265.2600,1969982
2022-07-01,2158.6600,2185.0000,2134.6100,2174.7500,1773783
2022-06-30,2200.0000,2217.7600,2135.0000,2179.2600,2158453
2022-06-29,2231.0400,2263.2050,2217.4501,2234.0300,1235841
2022-06-28,2316.0500,2346.1900,2236.9600,2240.1500,1794048
2022-06-27,2365.4600,2371.5900,2303.5937,2316.6700,1821038
2022-06-24,2259.9000,2361.5800,2259.0500,2359.5000,2058184
2022-06-23,2244.6300,2254.8500,2210.0100,2244.8400,1418096
2022-06-22,2211.1300,2266.9300,2207.6475,2229.7500,1538707
2022-06-21,2178.5900,2249.7850,2172.0000,2230.8800,2370790
2022-06-17,2120.6700,2173.9899,2100.9200,2142.8700,2568826
2022-06-16,2144.4200,2172.9700,2102.7601,2120.6700,2584248
2022-06-15,2170.9000,2228.4700,2153.3900,2195.2900,1984909
2022-06-14,2130.7000,2158.4900,2116.0000,2134.3100,1685313
2022-06-13,2135.7300,2175.8300,2122.3836,2127.8500,2362596
2022-06-10,2248.9000,2265.5800,2207.3224,2223.2300,2074092
2022-06-09,2326.5500,2365.9799,2295.5200,2296.7100,1289898
2022-06-08,2335.2300,2371.4100,2332.0000,2343.8800,1305387
2022-06-07,2309.6100,2353.8200,2301.0400,2342.9900,1579523
2022-06-06,2334.0900,2386.9400,2323.2800,2336.4100,1677077
2022-06-03,2321.2500,2326.4325,2270.3700,2290.8200,1306773
2022-06-02,2280.0000,2357.9900,2258.9300,2352.4500,1899614
2022-06-01,2297.1000,2342.0311,2265.0000,2277.8400,1830276
2022-05-31,2254.9300,2314.7000,2241.5700,2275.2400,2500613
2022-05-27,2189.6600,2246.3600,2182.7650,2246.3300,1895706
2022-05-26,2113.5400,2172.9900,2104.4971,2155.8500,1897361
2022-05-25,2099.7100,2130.0000,2077.1300,2116.1000,2012867
2022-05-24,2115.4400,2129.1650,2037.6936,2119.4000,3838989
2022-05-23,2191.7500,2242.9500,2174.8200,2229.7600,1859247
2022-05-20,2239.0200,2243.6700,2115.9272,2178.1600,2448148
2022-05-19,2228.6300,2260.2000,2200.0000,2207.6800,1707220
2022-05-18,2300.0000,2308.0000,2231.1100,2237.9900,1756299
2022-05-17,2336.8100,2338.0000,2297.3950,2329.4600,1152658
2022-05-16,2299.1100,2323.4000,2277.7900,2288.9000,1299522
2022-05-13,2290.6600,2357.5000,2272.1001,2321.0100,1751924
2022-05-12,2227.5500,2285.9000,2196.4900,2256.8800,2691809
2022-05-11,2264.7300,2327.2882,2264.7300,2272.0500,1876737
2022-05-10,2310.1500,2325.0000,2258.0100,2287.9000,1995019
2022-05-09,2265.0000,2301.5418,2240.0101,2250.2200,2040143
2022-05-06,2303.6900,2351.4300,2280.3100,2314.9300,1985479
2022-05-05,2404.0800,2420.7800,2300.1150,2330.1100,2292029
2022-05-04,2340.6300,2457.0900,2302.3200,2445.2200,2487859
2022-05-03,2328.6100,2368.8363,2320.6900,2346.6800,1248368
2022-05-02,2268.1000,2334.9100,2252.0000,2331.6600,1776651
2022-04-29,2334.6900,2358.3950,2276.2900,2282.1900,2133800
2022-04-28,2328.3000,2392.9900,2282.3000,2370.4500,2444232
2022-04-27,2289.3850,2344.8400,2254.7301,2285.8900,4591029
2022-04-26,2445.8900,2450.2000,2370.2200,2373.0000,3351262
2022-04-25,2382.0200,2465.5500,2370.2200,2461.4800,2306413
2022-04-22,2500.0000,2508.0400,2378.5000,2392.7100,2844186
2022-04-21,2585.0000,2601.9700,2490.5300,2496.2900,1822258
2022-04-20,2617.8400,2627.9800,2550.0000,2560.8000,1573067
2022-04-19,2553.8300,2606.6600,2539.9900,2600.1800,1324488
2022-04-18,2540.0000,2564.2500,2523.6400,2553.5300,1040433
2022-04-14,2609.5900,2609.5900,2532.0200,2534.6000,1579899
2022-04-13,2560.0000,2606.6800,2554.8250,2597.8800,1396362
2022-04-12,2632.0000,2632.0000,2535.7797,2554.2900,1635535
2022-04-11,2636.4700,2641.8500,2573.3700,2576.4700,1844153
2022-04-08,2711.6700,2713.4000,2659.3100,2665.7500,1257140
2022-04-07,2720.2000,2743.2900,2684.5479,2717.7700,1311680
2022-04-06,2775.0000,2787.2100,2710.3400,2730.9600,1623424
2022-04-05,2857.3800,2859.8100,2807.6500,2811.8200,1045707
2022-04-04,2807.1700,2874.2400,2806.2100,2859.4300,1298542
2022-04-01,2790.0000,2809.4150,2766.1500,2803.0100,1297072
2022-03-31,2841.0600,2842.1550,2780.4900,2781.3500,1876236
2022-03-30,2849.2000,2854.4063,2832.0000,2838.7700,994238
2022-03-29,2852.9500,2875.8700,2840.7650,2850.1100,1715851
2022-03-28,2818.0100,2840.0500,2796.2250,2829.1100,1752463
2022-03-25,2838.3200,2840.7000,2794.7500,2833.4600,1204457
2022-03-24,2784.0000,2832.3750,2755.0100,2831.4400,1319828
2022-03-23,2774.0500,2791.7700,2756.7000,2765.5100,1257670
2022-03-22,2722.0300,2821.0000,2722.0300,2797.3600,1739455
2022-03-21,2723.2700,2741.0000,2681.8450,2722.0300,1327701
2022-03-18,2668.4900,2724.8800,2645.1650,2722.5100,2203619
2022-03-17,2662.9800,2681.6080,2643.7000,2676.7800,1413196
2022-03-16,2614.6600,2666.6600,2574.6900,2665.6100,1778849
2022-03-15,2539.5200,2597.0900,2514.4100,2583.9600,1545976
2022-03-14,2605.0000,2608.1800,2505.5000,2519.0200,1940563
2022-03-11,2669.7700,2675.9100,2592.6300,2597.4100,1576322
2022-03-10,2625.3200,2665.4350,2618.2500,2648.5900,1355070
2022-03-09,2625.0000,2674.7100,2598.0100,2668.4000,1851270
2022-03-08,2525.0000,2625.0000,2513.4937,2542.0900,2021355
2022-03-07,2629.7600,2634.7000,2525.9000,2527.5700,2255647
2022-03-04,2658.5500,2677.0300,2606.7500,2638.1300,1522532
2022-03-03,2720.2000,2728.7899,2660.5100,2677.9900,1230162
2022-03-02,2692.5600,2705.2500,2661.4308,2691.4300,1175990
2022-03-01,2697.5700,2725.1100,2664.3700,2681.2300,1324768
2022-02-28,2661.0000,2715.0300,2651.8450,2701.1400,1943221
2022-02-25,2671.0400,2705.4300,2635.0300,2689.1900,1820299
2022-02-24,2499.0650,2660.0000,2499.0650,2653.8200,2722754
2022-02-23,2632.9700,2641.0200,2550.5500,2551.7600,1639301
2022-02-22,2596.7618,2643.6050,2564.4650,2596.2700,2223099
2022-02-18,2669.3400,2681.3999,2603.9300,2608.0600,2280972
2022-02-17,2724.8600,2742.2699,2649.5700,2650.7800,1947475
2022-02-16,2732.9300,2761.7200,2698.4750,2754.7600,1251065
2022-02-15,2751.4100,2762.1700,2716.4300,2732.1700,1335563
2022-02-14,2665.1300,2726.0000,2665.1300,2710.5200,1715054
2022-02-11,2772.0000,2783.1250,2668.0000,2685.6500,1997917
2022-02-10,2794.0700,2829.6900,2759.1400,2772.4000,1966533
2022-02-09,2819.2700,2850.4850,2803.7406,2831.8400,2007194
2022-02-08,2780.5300,2800.0000,2740.2770,2787.9800,2714180
2022-02-07,2885.0000,2885.0000,2778.0000,2784.0200,2748665
2022-02-04,2868.8927,2897.5000,2810.3000,2865.8600,2899911
2022-02-03,2914.1100,2993.5000,2853.3063,2861.8000,3575861
2022-02-02,3025.0000,3030.9315,2910.4501,2960.0000,6159961
2022-02-01,2751.8900,2755.8550,2687.3700,2752.8800,3432182
2022-01-31,2683.2399,2709.4600,2644.1900,2706.0700,1999300
2022-01-28,2593.1800,2667.1300,2569.7000,2667.0200,1718074
2022-01-27,2626.0800,2653.0450,2578.6458,2580.1000,1600939
2022-01-26,2622.3800,2660.0000,2542.8400,2584.6600,2456475
2022-01-25,2574.8000,2587.9800,2530.0100,2538.7000,2348028
2022-01-24,2519.5600,2624.0600,2490.0000,2616.0800,3834712
2022-01-21,2651.8700,2697.3106,2601.7300,2607.0300,2782571
2022-01-20,2725.0000,2752.5200,2659.2931,2666.1500,1495357
2022-01-19,2730.4700,2759.1900,2700.3100,2702.3300,1400853
2022-01-18,2723.5000,2742.6300,2708.7650,2719.9600,1722349
2022-01-14,2741.5800,2814.8400,2739.9700,2789.6100,1483064
2022-01-13,2830.8000,2857.0000,2768.1800,2771.7400,1571830
2022-01-12,2823.0000,2852.1550,2813.8900,2828.6100,1305602
2022-01-11,2760.1400,2804.3200,2733.8450,2794.7200,1212802
2022-01-10,2701.5600,2776.3900,2663.2900,2773.3900,2220406
2022-01-07,2762.9100,2768.9700,2715.3300,2740.3400,1488028
2022-01-06,2739.9700,2798.8000,2731.1700,2754.9500,1867371
2022-01-05,2888.4000,2889.9875,2753.7600,2755.5000,2730914
2022-01-04,2907.9200,2929.6978,2874.3250,2887.9900,1419972
2022-01-03,2901.1000,2917.0200,2874.2550,2899.8300,1433947
2021-12-31,2921.0000,2933.9700,2897.0400,2897.0400,879717
2021-12-30,2933.8800,2946.0000,2919.8900,2924.0100,784386
2021-12-29,2932.8857,2948.3400,2912.9500,2933.1000,889373
2021-12-28,2964.7200,2965.9801,2921.0856,2933.7400,912715
2021-12-27,2945.1200,2966.8799,2943.3850,2958.1300,799223
2021-12-23,2930.0000,2964.8700,2929.0400,2938.3300,1319172
2021-12-22,2861.3500,2930.0000,2861.3500,2928.3000,1316119
2021-12-21,2841.0700,2877.3800,2810.0500,2869.4500,1437768
2021-12-20,2800.0000,2835.4900,2786.4200,2832.1400,1359618
2021-12-17,2850.0000,2876.6900,2826.0000,2834.5000,2550894
2021-12-16,2943.4100,2953.5350,2872.1400,2888.9000,1682519
2021-12-15,2868.1800,2934.4200,2833.5578,2928.8200,1818523
2021-12-14,2879.3600,2889.6000,2824.2950,2878.1400,1922312
